epoch,acc,loss,lr,val_acc,val_loss
0,0.26861493890557286,0.5161422934888338,0.001,0.2540453074433657,2.834645023272998
1,0.27278421542467535,0.46301757497844226,0.001,0.24889673433362755,2.9912309676066817
2,0.28030065762335854,0.431259680272194,0.001,0.1834363047955281,3.1968305512855038
3,0.30210616965298365,0.38018456752905827,0.001,0.07825831126802,3.6046668751585584
4,0.3952787347042258,0.3019755110914641,0.001,0.3255369226243013,2.291245620297698
5,0.504247572684863,0.24226996672683623,0.001,0.48411297409735765,1.5819051841596674
6,0.5993579707846087,0.20045563930017316,0.001,0.5660488378759622,1.3222424700597555
7,0.6544589728275662,0.17622897983754723,0.001,0.5860547217490849,1.3040698000387994
8,0.6870693706846371,0.16276056031298944,0.001,0.6203295083984482,1.2614336051320847
9,0.7246711555596544,0.14379350341228792,0.001,0.6245954690276962,1.2124964683748196
10,0.7123199187398815,0.1519787546761761,0.001,0.5985583995205054,1.481825191015775
11,0.7472792043231925,0.13217933017222663,0.001,0.6863783464146979,1.0405210084022933
12,0.7716293452564841,0.12052331663227141,0.001,0.7428655481471774,0.8240919525604383
13,0.7747611965910604,0.11878306375955885,0.001,0.7144748456129505,0.9274355611860068
14,0.7968407452871834,0.10698570451774159,0.001,0.6994704318839194,0.9129551899682147
15,0.8066669278222492,0.10263790644768297,0.001,0.761253309270921,0.7918113624306068
16,0.8145552773368123,0.097987626789787,0.001,0.7285966459671586,0.8708240232877291
17,0.8206428122527913,0.09573288630102632,0.001,0.7712562523122464,0.7459869809836701
18,0.8269848103736808,0.0914611417626349,0.001,0.7986172399439507,0.6183369947412709
19,0.8362433447607849,0.08730417926119967,0.001,0.7818476018150893,0.7197001127503696
20,0.8396688066714616,0.08623772684100874,0.001,0.5428067080656828,1.900173136524398
21,0.8263388662699656,0.09336264798055426,0.001,0.7578699621217115,0.8140977904985287
22,0.8462456936489778,0.082298642219821,0.001,0.7937628715905978,0.6791800472290245
23,0.8519221732805338,0.07994192733431997,0.001,0.7864077673059381,0.6797038932238021
24,0.8536642654876219,0.07799711175475268,0.001,0.794939688038356,0.67041960818938
25,0.8758025368365829,0.06657562895237261,0.000100000005,0.8373050894341633,0.5076625424470926
26,0.8809309427244627,0.0634605174541772,0.000100000005,0.8411297437968623,0.5032335420186536
27,0.8814594425118683,0.06297479524410447,0.000100000005,0.8453957043208947,0.489819573510847
28,0.8834755715067918,0.062342626470553254,0.000100000005,0.848779052364437,0.4726306692699574
29,0.8802458504095295,0.06420111974699536,0.000100000005,0.8514268904722729,0.48488954930980266
30,0.881694331499166,0.06269649389724055,0.000100000005,0.846572521031692,0.49043429468652366
31,0.8850414970807435,0.06162646257910951,0.000100000005,0.8411297439722216,0.5098651286064438
32,0.8840823676046293,0.061234900575613024,0.000100000005,0.852309502724796,0.4709604465284569
33,0.8866074225240242,0.06058097032686031,0.000100000005,0.8434833776217834,0.5002127397354998
34,0.8860202003077882,0.06001473741819968,0.000100000005,0.847455133284215,0.4905652779801939
35,0.8878210148503703,0.05995021028822767,0.000100000005,0.8451015001958032,0.4985608493503173
36,0.8880559033523187,0.059792945565725245,0.000100000005,0.858781994634181,0.4582831583572998
37,0.8888975884561213,0.0593971734206728,0.000100000005,0.8427478669495679,0.5011807895471293
38,0.8895043845352916,0.058935001476166426,0.000100000005,0.8634892617053374,0.4384071256666192
39,0.891618383946256,0.05820140782294511,0.000100000005,0.8464254194513845,0.491051130432983
40,0.8903264952721432,0.058577376300270115,0.000100000005,0.8637834656550696,0.44752492865031873
41,0.8921077356904493,0.05801781008035794,0.000100000005,0.8514268901916979,0.47659520678184913
42,0.8911681803572786,0.05768144413166161,0.000100000005,0.8511326855054565,0.48429185380020995
43,0.892225179876088,0.057576169979411757,0.000100000005,0.8503971753417832,0.488339745996629
44,0.89369323537001,0.05714108594837623,0.000100000005,0.8539276254741751,0.47653802243812393
45,0.8958855307553951,0.05567322288384043,1.0000001e-05,0.8542218301078087,0.47140713687958735
46,0.896139993661629,0.05562504351773756,1.0000001e-05,0.8551044426409067,0.4677357177904123
47,0.8955527717814041,0.05510317770349468,1.0000001e-05,0.856281259351704,0.46590689591850803
48,0.8969816785227569,0.055130489199718934,1.0000001e-05,0.8551044426409067,0.46528095559324717
