epoch,acc,loss,lr,val_acc,val_loss
0,0.2703766050689317,0.48932171559542875,0.001,0.2540453074433657,3.541798122211848
1,0.28450908231167743,0.40044354880972416,0.001,0.19858781994704325,4.003869358179464
2,0.35342937664966245,0.3307194508544487,0.001,0.2524271844660194,3.820540407819936
3,0.46292671457637713,0.26439449188760034,0.001,0.2999411591644601,2.7107022362058393
4,0.5610906671402487,0.2174280830126663,0.001,0.4798470140292596,1.5632875657986458
5,0.6389171624123919,0.18140639445922085,0.001,0.5806119448123661,1.2747867590331021
6,0.6895748511810793,0.1567492896660047,0.001,0.6496028242022825,1.075225467680482
7,0.7330684311106928,0.13523225380341686,0.001,0.662694910741196,1.0517724002238826
8,0.7718446603995149,0.11639778855038854,0.001,0.7081494556871993,0.9131425071478101
9,0.8048661134476726,0.10060269138701389,0.001,0.7168284786487544,0.8832051434317698
10,0.8256537736750231,0.08990184425131639,0.001,0.7127096209500811,0.9337142741339948
11,0.8473026933357927,0.07754352145337999,0.001,0.7196234189681917,0.919971530544088
12,0.8671899469078725,0.06841640250458077,0.001,0.747867019957183,0.8089196459094579
13,0.8820075166475575,0.059972464256606954,0.001,0.7591938807459991,0.796032069605496
14,0.8948285310685803,0.053349384199740404,0.001,0.7696381286685345,0.7675954721786934
15,0.9007986217989207,0.05013364149421463,0.001,0.7731685785729593,0.7558325093505873
16,0.9117992485237838,0.04499845500980617,0.001,0.771991761862162,0.760056809138887
17,0.921057782854886,0.040085665475620286,0.001,0.7768461310221679,0.7758326559040117
18,0.9271257438145944,0.03706671209813956,0.001,0.7859664609341735,0.7185164637146855
19,0.937206389125223,0.03201519671653716,0.001,0.7765519272477952,0.7725944117996124
20,0.9400054806457804,0.031044491161579178,0.001,0.8075904680476815,0.6725830178676054
21,0.9538051988538664,0.024129924472599915,0.001,0.780376581382527,0.7765917828167912
22,0.9573285310685803,0.022708175583129164,0.001,0.7878787874053176,0.7657453978752592
23,0.9563302534745847,0.022269390859444838,0.001,0.8027360988350678,0.725119875779605
24,0.9604212340426005,0.02096597413974909,0.001,0.7918505448739506,0.7558946224758646
25,0.9614586594558009,0.020250046394142355,0.001,0.7887614002189905,0.7835123874433394
26,0.9628484185646218,0.019521415306822824,0.001,0.7984701377498854,0.7741794559877737
27,0.978488099022491,0.012612622774054722,0.000100000005,0.8193586345945045,0.6687520852892775
28,0.9862002820159215,0.009394901067851536,0.000100000005,0.8215651656992823,0.6643888087930593
29,0.9885100220536275,0.008371684650665647,0.000100000005,0.822153574054681,0.6669576214530532
30,0.9901150955587877,0.007777466545464232,0.000100000005,0.821712267788132,0.6645193049822811
31,0.9911525211959956,0.007202125115934357,0.000100000005,0.823036186587779,0.6745387576684843
32,0.9923073912241822,0.00678938838256295,0.000100000005,0.8234774928543279,0.6669198127836646
33,0.9926988725336674,0.006585439795880782,0.000100000005,0.8240659012097266,0.6767281561642754
34,0.9934818352833087,0.006303707448485043,0.000100000005,0.8274492499897781,0.6615349865548924
35,0.9942843720638898,0.005845420195400537,0.000100000005,0.823918799120877,0.6767365344660041
36,0.994656279398437,0.005709621108802385,0.000100000005,0.8286260667005754,0.663716679620336
37,0.9944213905604775,0.005530105400457162,0.000100000005,0.823918799120877,0.6790604087211484
38,0.995360945818979,0.005338621559350717,0.000100000005,0.8271550458120788,0.6718561974438754
39,0.9951064829874143,0.005204472851242685,0.000100000005,0.8264195348592883,0.6668155583152704
40,0.9955958346569385,0.004944588937101004,0.000100000005,0.8249485139707917,0.6733269830001176
41,0.9958111494266236,0.004758752871178163,1.0000001e-05,0.8256840249235822,0.6724643015307376
42,0.9959873160224255,0.004698228588309682,1.0000001e-05,0.827007943214687,0.6676137238504186
43,0.9960656122955229,0.004678002606775184,1.0000001e-05,0.827007943723229,0.669914019865371
44,0.9959873160037582,0.004644498296476949,1.0000001e-05,0.8274492499897781,0.6713460032362628
