epoch,acc,loss,lr,val_acc,val_loss
0,0.2709246790319485,0.4856427294816711,0.001,0.2540453074433657,3.5186984570596667
1,0.2801440650584964,0.416240749381905,0.001,0.2418358340688438,3.841964033429291
2,0.32445975566895974,0.3489135994625211,0.001,0.25198587819947044,3.752385993114672
3,0.4330762606633333,0.282889722209719,0.001,0.4052662545265468,1.9510291869866914
4,0.5373473222674601,0.23216888970747063,0.001,0.5280964990755009,1.460336372514934
5,0.6100649857573326,0.19805193599809348,0.001,0.579288025784752,1.2948787012111442
6,0.6685131538485495,0.1685487186455107,0.001,0.6022359514699399,1.2344204780107808
7,0.7159606952149032,0.1459617781818305,0.001,0.66902030043898,1.051537051029716
8,0.751096148047371,0.12848157968373272,0.001,0.6687260954721636,1.0756208033167498
9,0.7763271219410046,0.11490081270968246,0.001,0.7274198294492566,0.8736348085348731
10,0.8083894458677267,0.09945122746886634,0.001,0.7016769636024549,0.9645407526729457
11,0.8315259945680085,0.08720063482085404,0.001,0.7258017061913353,0.8989217239255307
12,0.8435444721151137,0.07987222827520633,0.001,0.7671373934912731,0.7635445526748168
13,0.8585382083572641,0.07241589002220226,0.001,0.7309502794588969,0.8981895526741209
14,0.8814398682942556,0.06114036084210802,0.001,0.7591938807459991,0.8255397402984179
15,0.8909920136681404,0.055202063818243725,0.001,0.7697852314938934,0.7736083937238405
16,0.8993892889578365,0.050777147410013365,0.001,0.792438953001382,0.7179708411568015
17,0.9068078608524826,0.046947310024430824,0.001,0.7872903793831018,0.7327660359014796
18,0.9187480426678417,0.040765525839086464,0.001,0.7822889083096054,0.7626411830652949
19,0.9255206700107576,0.0370162414964971,0.001,0.7911150332547946,0.7293028981414182
20,0.9298465392860618,0.03454767451777639,0.001,0.7989114442970094,0.7005275496317029
21,0.9368149074423922,0.03219017728747823,0.001,0.7934686675707219,0.7370700525444863
22,0.9447424051868404,0.027492824243600375,0.001,0.7933215652539051,0.7586782521169022
23,0.9469151267652933,0.02693411089757599,0.001,0.7983230361695779,0.745085428482857
24,0.9433722203703013,0.02832175545788767,0.001,0.7856722563531476,0.7995227918129663
25,0.9513192920523529,0.02476022545933126,0.001,0.7959694032565254,0.7558305508847025
26,0.9547447540376988,0.022833121015879566,0.001,0.7922918505793496,0.7927142104951028
27,0.9750234891059366,0.014266564485095173,0.000100000005,0.8159752870595045,0.6854552104389643
28,0.9823441905098727,0.011059327339219742,0.000100000005,0.8218593701049488,0.6686205643701287
29,0.985319448962243,0.010241088864585747,0.000100000005,0.8199470436864125,0.6781121402075796
30,0.9864547448101516,0.009556870402945011,0.000100000005,0.8200941457752622,0.6864845846007241
31,0.9879423740550041,0.009010517802013616,0.000100000005,0.8177405124062754,0.6840941346929718
32,0.9893321329211502,0.008673084845239657,0.000100000005,0.8211238599412755,0.6836165419989875
33,0.9897823364914602,0.00822848088793151,0.000100000005,0.8209767573438836,0.6848896999996036
34,0.9899976512051435,0.007968515695259092,0.000100000005,0.8225948808297721,0.6893070183560651
35,0.9915244284932082,0.007443827555788756,1.0000001e-05,0.8233303912740204,0.6799914102303206
36,0.9916027248223075,0.007396914061092393,1.0000001e-05,0.8242130032985763,0.6774285667501642
37,0.9920137802374016,0.007364578694723502,1.0000001e-05,0.8230361870963211,0.678969026278243
38,0.9915048544062666,0.007270257090790926,1.0000001e-05,0.823036186587779,0.6787618736408499
