epoch,acc,loss,lr,val_acc,val_loss
0,0.22220482297575367,0.9207865743849145,0.001,0.038540747278611356,3.8700404176995415
1,0.2707485124641476,0.5582276392311577,0.001,0.253898205354516,2.924592227576655
2,0.27262762283181236,0.45140262245385204,0.001,0.2540453074433657,3.031840637944382
3,0.27305825233384806,0.4288863505347933,0.001,0.06045895851721095,3.1164999316811177
4,0.27517225168881054,0.40393555030866063,0.001,0.1857899382171227,2.8564623448034356
5,0.2841958972472888,0.3789730009486076,0.001,0.2662547808178876,2.6745139029700113
6,0.30310444729364744,0.34912499268339453,0.001,0.29714621947357656,2.238152986906949
7,0.33825947375570836,0.31853881015360935,0.001,0.30464842600216935,2.3545045539118608
8,0.38173347939304003,0.28837716884647385,0.001,0.301265077983835,2.38452026801237
9,0.43143203891895426,0.2644780018637257,0.001,0.3486319506526099,2.2129446525859917
10,0.47954509869063866,0.2430030910471484,0.001,0.36613709924763954,1.977185190688445
11,0.525309270166731,0.22338897715046455,0.001,0.41497499255721587,1.8751304396533657
12,0.5625587221674885,0.20868326245693067,0.001,0.4235069140086072,1.8832853011574315
13,0.5963631379839548,0.19533183014284583,0.001,0.5719329211844455,1.323025241428419
14,0.6191277795176949,0.18650607652250517,0.001,0.5041188584176468,1.5794559561108519
15,0.6423817728142958,0.1757810282419738,0.001,0.446454839702563,2.027986307290064
16,0.6646962103110438,0.16631385834751702,0.001,0.7209473370839372,0.8951397918364201
17,0.6832915751530091,0.15820803042679718,0.001,0.6694616068282805,1.0506027743689414
18,0.697932978222223,0.15118918518660923,0.001,0.6696087082858365,1.0422510613270035
19,0.7126918259064232,0.1442390781163124,0.001,0.6394527804048387,1.1299244484574558
20,0.7249451927208356,0.13919782384674712,0.001,0.630479553037617,1.2515801645510685
21,0.7361807078916452,0.13408752047097164,0.001,0.6422477196370479,1.1532025566939994
22,0.7471813340938245,0.12904170887749508,0.001,0.6691674017036406,1.056252431592439
23,0.7696719385223855,0.11687409835542364,0.000100000005,0.7281553394901784,0.8198736500270088
24,0.7769730659887181,0.11421543562296525,0.000100000005,0.738746690167929,0.7977736231578593
25,0.7794198245043445,0.11303390377494858,0.000100000005,0.7499264486925361,0.778509260837244
26,0.7816708423372275,0.11205135251786542,0.000100000005,0.7440423651385497,0.7852735207970966
27,0.7822384906531948,0.1116525802097461,0.000100000005,0.739187996715053,0.8056861647931083
28,0.7842546195734492,0.11102206333234994,0.000100000005,0.7405119157426671,0.7973181592888536
29,0.78515502643406,0.1103333124673333,0.000100000005,0.7519858786203328,0.7672286552518702
30,0.7866035078037058,0.10983427999919759,0.000100000005,0.7493380400565626,0.778988853627424
31,0.7882477291840727,0.10905366328174777,0.000100000005,0.7580170638072347,0.7548105935203079
32,0.7906944878303702,0.10879654538106888,0.000100000005,0.7477199171318241,0.7846159810843135
33,0.789461321715759,0.1081121751284323,0.000100000005,0.7443365699475427,0.782952555315254
34,0.7915165985858892,0.10781409486899583,0.000100000005,0.7591938801848492,0.7406145065768602
35,0.7913404322327621,0.10693564292100616,0.000100000005,0.7566931451829471,0.7454582115558008
36,0.7934740054693261,0.10624218082030365,0.000100000005,0.7565460425855552,0.7529444711002823
37,0.7946288757028529,0.1065266013374121,0.000100000005,0.7524271843783398,0.768181561073439
38,0.7950399312112834,0.10555687753003554,0.000100000005,0.7325684026642104,0.8253272589812317
39,0.796801597299973,0.10538280534307448,0.000100000005,0.7340394233247398,0.8164856896466387
40,0.7973888191988653,0.10409976361156667,0.000100000005,0.7655192705139268,0.7161505745242154
41,0.799913874043591,0.10387867016410365,0.000100000005,0.7716975584735798,0.722672367821935
42,0.8002662072351947,0.10330165691400747,0.000100000005,0.7577228593489604,0.7614576986306694
43,0.8010295959725635,0.10317926274742634,0.000100000005,0.7496322441816541,0.7677066366474009
44,0.802204039901019,0.10269545748330491,0.000100000005,0.7525742865197972,0.7761919403048114
45,0.8029870028560004,0.1021088551866422,0.000100000005,0.7637540452197636,0.7319657429417079
46,0.8033589102092149,0.10175388513586195,0.000100000005,0.7491909387042222,0.7710244694363548
47,0.8055903540484927,0.10000600518802845,1.0000001e-05,0.7621359219618424,0.7341036412532836
48,0.807547760633253,0.09992128543408732,1.0000001e-05,0.7656663728307436,0.7260618296992467
49,0.8078609456136389,0.09949773519232546,1.0000001e-05,0.7672844948436134,0.7170651974345558
50,0.8089179453564557,0.09956713824194874,1.0000001e-05,0.7639011477645476,0.7299414077517775
